,sizes,top1,top2,top3,concerned
0,3961.0,0.005049229992426155,0.016409997475385005,0.01918707397121939,0.040646301439030585
1,3935.0,0.006607369758576874,0.015247776365946633,0.019567979669631513,0.04142312579415497
2,3787.0,0.005545286506469501,0.011882756799577503,0.021388962239239504,0.038817005545286554
3,4159.0,0.006732387593171436,0.01659052656888675,0.021158932435681656,0.044481846597739794
4,4021.0,0.00920169112161154,0.017905993533946778,0.006217358865953743,0.03332504352151211
5,7407.0,0.009855542054813015,0.02025111381125962,0.01971108410962603,0.049817739975698716
6,4163.0,0.011289935142925775,0.035551285130915204,0.031227480182560653,0.07806870045640169
7,,,,,
8,10101.0,0.010197010197010197,0.02286902286902287,0.02494802494802495,0.05801405801405801
9,4029.0,0.012658227848101266,0.03598907917597419,0.03449987589972698,0.08314718292380241
10,4090.0,0.02273838630806846,0.05819070904645477,0.05158924205378973,0.13251833740831298
11,4613.0,0.011272490786906569,0.03251680034684587,0.04118794710600477,0.08497723823975722
12,4015.0,0.012702366127023662,0.038107098381070986,0.04134495641344956,0.09215442092154424
13,3926.0,0.020122261844116147,0.04253693326541009,0.04763117677024962,0.11029037187977586
14,3931.0,0.020096667514627322,0.03357924192317476,0.03357924192317476,0.08725515136097683
15,4032.0,0.02132936507936508,0.049107142857142856,0.04092261904761905,0.11135912698412698
